simFolder,doGraphs,numRepeats,numScenarios,numPolicies
2021_11_25-17_12_48,0,1,1,1
2021_11_25-18_15_47,0,1,1,1
2021_11_25-18_46_51,0,1,1,1
2021_11_25-19_16_10,0,1,1,1
2021_11_25-22_55_36,0,1,1,1
2021_11_26-15_29_18,0,1,1,1
2021_11_26-15_53_41,0,1,1,1
2021_11_26-17_59_00,0,1,1,1
2021_11_27-00_11_48,0,1,1,1
2021_11_27-00_23_27,0,1,1,1
2021_11_27-01_14_25,0,1,1,1
2021_11_27-09_08_56,0,1,1,1
2021_11_27-10_05_27,0,1,1,1
2021_11_27-10_16_54,0,1,1,1
2021_11_27-18_30_48,0,1,1,1
2021_11_27-19_01_43,0,1,1,1
2021_11_27-19_08_12,0,1,1,1
2021_11_27-19_20_24,0,1,1,1
2021_11_27-21_46_11,0,1,1,1
2021_11_27-21_54_17,0,1,1,1
2021_11_27-22_19_28,0,1,1,1
2021_11_27-22_26_32,0,1,1,1
2021_11_27-22_40_30,0,1,1,1
2021_11_27-22_48_10,0,1,1,1
2021_11_27-22_51_14,0,1,1,1
2021_11_27-22_56_46,0,1,1,1
2021_11_28-10_28_52,0,1,1,1
2021_11_28-10_37_58,0,1,1,1
2021_11_28-11_11_07,0,1,1,1
2021_11_28-15_09_05,0,1,1,1
2021_11_28-15_25_09,0,1,1,1
2021_11_28-15_48_22,0,1,1,1
2021_11_28-15_54_25,0,1,1,1
2021_11_28-16_13_18,0,1,1,1
2021_11_28-16_31_15,0,1,1,1
2021_11_28-17_10_48,0,1,1,1
2021_11_28-17_30_06,0,1,1,1
2021_11_28-17_39_49,0,1,1,1
2021_11_28-17_44_46,0,1,1,1
2021_11_28-20_24_35,0,1,1,1
2021_11_28-21_33_09,0,1,1,1
2021_11_29-10_04_36,0,1,1,1
2021_11_29-10_43_03,0,1,1,1
2021_11_29-11_28_36,0,1,1,1
2021_11_29-11_51_24,0,1,1,1
2021_11_29-12_15_11,0,1,1,1
2021_11_29-16_58_04,0,1,1,1
2021_11_29-17_16_27,0,1,1,1
2021_11_29-17_33_33,0,1,1,1
2021_11_29-17_56_31,0,1,1,1
2021_11_29-18_07_39,0,1,1,1
2021_11_29-18_27_19,0,1,1,1
2021_11_29-19_43_02,0,1,1,1
2021_11_30-17_46_55,0,1,1,1
2021_11_30-17_57_38,0,1,1,1
2021_11_30-22_26_47,0,1,1,1
2021_11_30-22_37_53,0,1,1,1
2021_11_30-22_56_15,0,1,1,1
2021_12_01-19_54_58,0,1,1,1
2021_12_01-20_00_29,0,1,1,1
2021_12_01-20_05_33,0,1,1,1
2021_12_01-20_10_48,0,1,1,1
2021_12_01-20_15_33,0,1,1,1
2021_12_03-10_33_04,0,1,1,1
2021_12_03-10_40_02,0,1,1,1
2021_12_03-11_00_18,0,1,1,1
2021_12_03-11_11_04,0,1,1,1
2021_12_03-14_31_14,0,1,1,1
2021_12_04-10_19_33,0,1,1,1
2021_12_04-11_08_58,0,1,1,1
2021_12_04-16_49_25,0,1,1,1
2021_12_05-10_14_44,0,1,1,1
2021_12_05-23_16_50,0,1,1,1
2021_12_06-00_10_10,0,1,1,1
2021_12_06-00_17_19,0,1,1,1
2021_12_06-10_40_33,0,1,1,1
2021_12_06-11_20_45,0,1,1,1
2021_12_06-11_27_40,0,1,1,1
2021_12_06-11_45_01,0,1,1,1
2021_12_06-12_03_41,0,1,1,1
2021_12_06-12_38_35,0,1,1,1
2021_12_06-13_01_09,0,1,1,1
2021_12_06-16_25_26,0,1,1,1
2021_12_07-11_32_45,0,1,1,1
2021_12_07-18_32_53,0,1,1,1
2021_12_07-23_35_11,0,1,1,1
2021_12_11-00_47_58,0,1,1,1
2021_12_11-00_51_06,0,1,1,1
2021_12_11-01_00_30,0,1,1,1
2021_12_11-15_09_00,0,1,1,1
2021_12_11-19_49_43,0,1,1,1
2021_12_11-19_53_18,0,1,1,1
2021_12_11-20_17_30,0,1,1,1
2021_12_11-20_23_00,0,1,1,1
2021_12_11-21_11_53,0,1,1,1
2021_12_12-16_00_51,0,1,1,1
2021_12_12-16_14_09,0,1,1,1
2021_12_12-16_29_55,0,1,1,1
2021_12_12-16_36_49,0,1,1,1
2021_12_12-18_32_06,0,1,1,1
2021_12_12-21_29_36,0,1,1,1
2021_12_13-01_53_39,0,1,1,1
2021_12_13-12_17_35,0,1,1,1
2021_12_14-00_13_54,1,1,1,1